Channel Post ID,Short Link,Long Link
1007714389720530000,https://t.co/BEWppuQZjm,https://www.jnj.com/personal-stories/johnson-and-johnson-employee-adopted-orphan-with-aids
1007714401439350000,https://t.co/4IMrHKIBE9,https://www.jnj.com/personal-stories/bariatric-surgery-what-its-like-to-undergo-the-weight-loss-procedure
1008016393881760000,https://t.co/vuicU2Kii3,https://www.jnj.com/personal-stories/what-it-means-to-be-a-dad-today-5-modern-fathers-share-their-work-family-balance-secrets
1008031482965870000,https://t.co/THUkzTpXf6,https://www.jnj.com/personal-stories/jack-groppel-what-i-learned-from-climbing-mount-kilimanjaro
1008046580740570000,https://t.co/fPda0QQ23U,https://www.jnj.com/personal-stories/story/a-dads-story-how-adopting-my-daughter-from-china-changed-my-life
1008061680662770000,https://t.co/A2GuH7MoL3,https://www.jnj.com/personal-stories/what-it-means-to-be-a-dad-today-5-modern-fathers-share-their-work-family-balance-secrets
1008076769621130000,https://t.co/C8UcLlqWYM,https://www.jnj.com/personal-stories/story/a-dads-story-how-adopting-my-daughter-from-china-changed-my-life
1008076768987810000,https://t.co/ZO2SOX00No,https://www.jnj.com/personal-stories/jack-groppel-what-i-learned-from-climbing-mount-kilimanjaro
1008363685927090000,https://t.co/A3uarHOxEg,https://www.jnj.com/our-heritage/vintage-ads-from-johnson-johnson-featuring-fathers
1008378766140360000,https://t.co/URnFuMVGOF,http://healthforhumanityreport.jnj.com/
1008378779574680000,https://t.co/0HxgEsGkzI,https://www.jnj.com/media-center/media-assets/johnson-johnson-unveils-an-enhanced-parental-leave-policy-for-employees-worldwide
1008393873348080000,https://t.co/9vFlQKfrLx,https://www.jnj.com/our-heritage/johnsons-shaving-cream-soap-the-product-that-revolutionized-grooming-in-the-1900s
1008408971030460000,https://t.co/t7d7x7JX3z,https://www.jnj.com/our-heritage/vintage-ads-from-johnson-johnson-featuring-fathers
1008424065600830000,https://t.co/BVvkJQsood,https://www.jnj.com/media-center/media-assets/johnson-johnson-unveils-an-enhanced-parental-leave-policy-for-employees-worldwide
1008439160280100000,https://t.co/VdteR5NGG0,https://www.jnj.com/our-heritage/johnsons-shaving-cream-soap-the-product-that-revolutionized-grooming-in-the-1900s
1008711199167600000,https://t.co/5Jr01gSqLL,https://www.jnj.com/health-and-wellness/summer-skincare-tips-from-a-dermatologist
1008741202655630000,https://t.co/Z2DUzacNqD,https://www.jnj.com/health-and-wellness/summer-skincare-tips-from-a-dermatologist
1008756270390750000,https://t.co/tOkrY7VA4G,https://www.jnj.com/innovation/janssen-autism-spectrum-disorder-research
1008771357943970000,https://t.co/YEnKYsvyJM,https://www.jnj.com/innovation/5-things-we-now-know-about-autism
1008786460269530000,https://t.co/4PfRYdqHDe,https://www.jnj.com/innovation/5-things-we-now-know-about-autism
1008801545339700000,https://t.co/Yo7mDdtCMd,https://www.jnj.com/innovation/janssen-autism-spectrum-disorder-research
1009088457933710000,https://t.co/znWQKHAl1O,https://www.jnj.com/caring-and-giving/black-history-month-5-ways-johnson-and-johnson-is-boosting-african-american-health
1009103583579700000,https://t.co/ITUzRlyb8f,https://www.jnj.com/latest-news/how-artificial-intelligence-is-helping-janssen-discover-new-drugs
1009118636882250000,https://t.co/DJObfOzE45,https://www.aspenideas.org/?gclid=CjwKCAjw0ujYBRBDEiwAn7BKt5nVKjxzbgjFaZhyBr7MEG9joAOeMj9qZeDwRHP-G57Cdhks3tmNEhoCAtMQAvD_BwE
1009133745159450000,https://t.co/wfYpg0qPh4,https://www.jnj.com/innovation/how-the-microbiome-could-transform-your-skin-in-surprising-ways
1009133746774250000,https://t.co/trVCXvgYfc,https://www.jnj.com/caring-and-giving/black-history-month-5-ways-johnson-and-johnson-is-boosting-african-american-health
1009148121941710000,https://t.co/qv0Lav1mvt,https://www.jnj.com/innovation/how-the-microbiome-could-transform-your-skin-in-surprising-ways
1009148130758180000,https://t.co/f6ubIFPVgH,https://www.jnj.com/latest-news/how-artificial-intelligence-is-helping-janssen-discover-new-drugs
1009183870158280000,No Link,No Link
1009183879951940000,No Link,No Link
1009458382867190000,https://t.co/ZDyW39BUsw,https://www.jnj.com/personal-stories/i-escaped-war-torn-syria-the-story-of-a-johnson-and-johnson-refugee-scientist
1009458387589980000,https://t.co/fahr9HpuzH,https://www.jnj.com/personal-stories/i-escaped-war-torn-syria-the-story-of-a-johnson-and-johnson-refugee-scientist
1009481045836790000,https://t.co/INUEIU4hog,https://www.jnj.com/personal-stories/3-johnson-johnson-employees-making-difference-in-their-communities
1009496186066250000,https://t.co/MsnKMlNMUG,https://www.jnj.com/caring-and-giving/how-johnson-johnson-save-the-children-help-young-syrian-refugees
1009511260080260000,https://t.co/EiIJmOFaTr,https://www.jnj.com/personal-stories/3-johnson-johnson-employees-making-difference-in-their-communities
1009526324837350000,https://t.co/4nLW1UJViS,https://www.jnj.com/caring-and-giving/how-johnson-johnson-save-the-children-help-young-syrian-refugees
1009798127308630000,https://t.co/cI5TJINdbg,https://www.jnj.com/health-and-wellness/what-is-the-best-sunscreen-for-me-skincare-experts-have-the-answers
1009799373943950000,No Link,No Link
1009813218464790000,No Link,No Link
1009813232616370000,https://t.co/cKlBS3zJdF,https://www.jnj.com/health-and-wellness/what-is-the-best-sunscreen-for-me-skincare-experts-have-the-answers
1009830141948820000,https://t.co/JkL95dv7sc,https://www.jnj.com/innovation/jlabs-nyc-johnson-johnson-innovation-hub-comes-to-new-york-city
1009843452006330000,https://t.co/DwaHaMSoP9,https://www.jnj.com/innovation/jlabs-nyc-johnson-johnson-innovation-hub-comes-to-new-york-city
1009856413026470000,No Link,No Link
1009857215925190000,No Link,No Link
1009873655566940000,https://t.co/uRjCafhuDv,https://www.jnj.com/innovation/follow-the-journey-of-a-jlabs-healthcare-start-up-entrepreneur
1009911358215870000,https://t.co/HbIt3wwo6r,https://www.jnj.com/innovation/follow-the-journey-of-a-jlabs-healthcare-start-up-entrepreneur
1010175623585720000,https://t.co/JVPXq4tQb7,https://www.jnj.com/health-and-wellness/5-things-we-now-know-about-safety-and-effectiveness-of-sunscreen
1010190717963130000,https://t.co/K56dpgheTi,https://www.jnj.com/personal-stories/how-johnson-johnson-supported-me-when-i-became-a-surrogate-mother
1010190723109580000,https://t.co/0yJtTjGjRq,https://www.jnj.com/caring-and-giving/10-ways-johnson-johnson-is-advancing-global-health-for-all
1010220908533900000,https://t.co/3f53o9exy9,https://www.jnj.com/personal-stories/how-johnson-johnson-supported-me-when-i-became-a-surrogate-mother
1010243547893810000,https://t.co/XKgoRaoOgj,https://www.jnj.com/caring-and-giving/10-ways-johnson-johnson-is-advancing-global-health-for-all
1010251115773000000,https://t.co/kWZouzj4zV,https://www.jnj.com/health-and-wellness/5-things-we-now-know-about-safety-and-effectiveness-of-sunscreen
1010538017755480000,https://t.co/hcKz7sF08r,https://www.aspenideas.org/content/2018-aspen-ideas-festival-scholars#sh-title
1010545532962570000,https://t.co/1uQKMtJtmw,https://www.jnj.com/caring-and-giving/global-pro-bono-a-program-that-gives-employees-time-off-to-volunteer
1010553099910510000,https://t.co/xd434ba0j7,https://www.jnj.com/our-heritage/meet-the-women-behind-johnson-and-johnsons-long-legacy-of-employee-volunteering
1010568195592410000,https://t.co/sSicKbon8A,https://www.jnj.com/caring-and-giving/johnson-and-johnson-program-lets-employees-take-paid-time-off-work-to-do-good-national-volunteer-week
1010583291982950000,https://t.co/GPAfh3mFIC,https://www.jnj.com/caring-and-giving/global-pro-bono-a-program-that-gives-employees-time-off-to-volunteer
1010598396002950000,https://t.co/GME13YBsot,https://www.jnj.com/our-heritage/meet-the-women-behind-johnson-and-johnsons-long-legacy-of-employee-volunteering
1010613485330410000,https://t.co/Wkk0LV71CQ,https://www.jnj.com/caring-and-giving/johnson-and-johnson-program-lets-employees-take-paid-time-off-work-to-do-good-national-volunteer-week
1010915552263650000,https://t.co/ySGl9uiUvw,https://www.jnj.com/personal-stories/how-johnson-johnson-helped-one-transgender-employee-with-his-transition
1010930588113610000,https://t.co/Ki4mwj9awA,https://www.jnj.com/innovation/employee-benefits-that-help-make-johnson-johnson-a-great-company
1010945682130250000,https://t.co/i3PCsad1kU,https://www.jnj.com/personal-stories/johnson-johnson-chief-diversity-officer-and-workplace-diversity
1010960779447840000,https://t.co/Z1jIzQju16,https://www.jnj.com/personal-stories/how-johnson-johnson-helped-one-transgender-employee-with-his-transition
1010975874383070000,https://t.co/5rW8bQ9i0v,https://www.jnj.com/innovation/employee-benefits-that-help-make-johnson-johnson-a-great-company
1010975874299160000,https://t.co/on83MTlfQI,https://www.jnj.com/personal-stories/johnson-johnson-chief-diversity-officer-and-workplace-diversity
1011247679295440000,https://t.co/D7fFSUb0rL,https://www.jnj.com/latest-news/glassdoor-names-johnson-johnson-alex-gorsky-a-2018-top-ceo
1011262779452470000,https://t.co/cABoXQgY5n,https://www.jnj.com/innovation/3-ways-johnson-and-johnson-is-taking-talent-acquisition-to-the-next-level
1011278118605250000,https://t.co/AFet3MciUz,https://www.jnj.com/latest-news/glassdoor-names-johnson-johnson-alex-gorsky-a-2018-top-ceo
1011292976897810000,https://t.co/GJ8VJ3oeNB,https://www.jnj.com/our-heritage/7-ways-johnson-johnson-has-been-supporting-its-employees-since-1886
1011308076060870000,https://t.co/ZxA6qudaml,https://www.jnj.com/innovation/3-ways-johnson-and-johnson-is-taking-talent-acquisition-to-the-next-level
1011338266329710000,https://t.co/ekbCmVXtwp,https://www.jnj.com/our-heritage/7-ways-johnson-johnson-has-been-supporting-its-employees-since-1886
1011610082478550000,https://t.co/TcdwXUOtuX,https://www.jnj.com/health-and-wellness/a-doctors-tips-on-the-best-ways-to-treat-and-prevent-sunburn
1011625176965000000,https://t.co/mX5TAqWWa5,https://www.jnj.com/health-and-wellness/a-doctors-tips-on-the-best-ways-to-treat-and-prevent-sunburn
1011640305957900000,https://t.co/gjobtFXxEo,https://www.jnj.com/our-heritage/drybak-first-waterproof-bandage-ever-made-by-johnson-and-johnson
1011655386821210000,https://t.co/D6J8fTAlxR,https://www.jnj.com/our-heritage/drybak-first-waterproof-bandage-ever-made-by-johnson-and-johnson
1011670459480520000,https://t.co/7MVyRvmnNG,https://www.jnj.com/personal-stories/national-nurses-week-a-story-of-a-nurse-with-a-knack-for-innovation
1011685565773890000,https://t.co/ZNhpIvjRZR,https://www.jnj.com/personal-stories/national-nurses-week-a-story-of-a-nurse-with-a-knack-for-innovation
1011972504783670000,https://t.co/8DpQJaqFLX,https://www.jnj.com/innovation/6-surprising-things-you-may-not-know-about-hiv-aids-today
1011987557696090000,https://t.co/P3mLZceMz8,https://www.jnj.com/innovation/6-surprising-things-you-may-not-know-about-hiv-aids-today
1012003999250340000,https://t.co/mUgFdD2542,https://www.jnj.com/innovation/4-amazing-men-women-at-the-forefront-of-hiv-johnson-and-johnson
1012017765572590000,https://t.co/bVQdv03JMY,https://www.jnj.com/innovation/4-amazing-men-women-at-the-forefront-of-hiv-johnson-and-johnson
1012032868472710000,https://t.co/MMP1zpnuUA,https://www.jnj.com/personal-stories/meet-the-mother-daughter-pair-on-a-mission-to-end-hiv-transmission-mothers-2-mothers
1012070584438740000,https://t.co/m7RZW9BRcJ,https://www.jnj.com/personal-stories/meet-the-mother-daughter-pair-on-a-mission-to-end-hiv-transmission-mothers-2-mothers
1012334885812550000,https://t.co/BFcVxmzWl0,https://www.jnj.com/innovation/6-super-sustainable-johnson-johnson-sites-around-the-world
1012365078572810000,https://t.co/2h4ae3UZsF,https://www.jnj.com/our-heritage/katherine-hannan-the-world-war-1-nurse-who-battled-the-spanish-flu
1012380147893360000,https://t.co/MeltEAmBy7,https://www.jnj.com/our-heritage/katherine-hannan-the-world-war-1-nurse-who-battled-the-spanish-flu
1012395235190750000,https://t.co/Hye4Yxsqns,https://www.jnj.com/innovation/3-digital-supply-chain-innovations-johnson-johnson-is-harnessing
1012410326917300000,https://t.co/v84qyDoHeo,https://www.jnj.com/innovation/3-digital-supply-chain-innovations-johnson-johnson-is-harnessing
1012425446791760000,https://t.co/8IcletvWCC,error
1012428273396210000,https://t.co/8IcletvWCC,error
1012461659477110000,https://t.co/geG5UTfzS0,https://www.jnj.com/innovation/6-super-sustainable-johnson-johnson-sites-around-the-world
1012682140545370000,https://t.co/Mhnvmf4Fy9,https://www.jnj.com/health-and-wellness/5-prostate-cancer-facts-and-tips
1012697242304720000,https://t.co/NFYK7SmOaF,https://www.jnj.com/innovation/johnson-and-johnson-scientist-helping-fight-tropical-diseases-in-india
1012712350133220000,https://t.co/KRkHfzYk6b,https://www.jnj.com/innovation/johnson-and-johnson-scientist-helping-fight-tropical-diseases-in-india
1012727446410550000,https://t.co/sYcRdlMsgx,https://www.jnj.com/health-and-wellness/new-johnson-and-johnson-study-looks-at-benefits-of-beach-umbrella-and-high-spf-sunscreen-for-sun-protection
1012727460633500000,https://t.co/nKOoFQSDh7,error
1012742553500870000,https://t.co/mwl344YNcR,https://www.jnj.com/health-and-wellness/new-johnson-and-johnson-study-looks-at-benefits-of-beach-umbrella-and-high-spf-sunscreen-for-sun-protection
1012757659886460000,https://t.co/VFlTlbtrRn,https://www.jnj.com/caring-and-giving/international-day-of-families-why-johnson-johnson-supports-families
1012772736144470000,https://t.co/jSkezgn4Ii,https://www.jnj.com/caring-and-giving/international-day-of-families-why-johnson-johnson-supports-families
1013089842966770000,https://t.co/O8FZiqZpSL,https://www.jnj.com/personal-stories/the-road-to-devex-aya-mouallem-discusses-her-stem-program-for-girls
1013104914850070000,https://t.co/HTobLPGiIF,https://www.jnj.com/personal-stories/the-road-to-devex-aya-mouallem-discusses-her-stem-program-for-girls
1013120011836250000,https://t.co/S4kUJ1HewY,https://www.jnj.com/health-and-wellness/why-is-my-wound-not-healing
1013135109007040000,https://t.co/XdKo9yy0VC,https://www.jnj.com/health-and-wellness/why-is-my-wound-not-healing
1013150207587040000,https://t.co/macoYDg9U1,https://www.jnj.com/our-heritage/earth-day-spotlight-8-creative-ways-johnson-johnson-has-been-recycling-since-1886
1013165306682980000,https://t.co/BKxQS5YkPq,https://www.jnj.com/our-heritage/earth-day-spotlight-8-creative-ways-johnson-johnson-has-been-recycling-since-1886